Name,Age,Salary,Department,Experience

Grace,36,102592,HR,10
David,24,107563,Finance,4
Henry,35,42695,Marketing,12
Eva,38,88190,Marketing,14
Grace,25,45258,Marketing,7
John,39,79504,Marketing,2
Charlie,29,73159,Marketing,3
Grace,25,53986,Finance,1
Henry,23,101858,Finance,5
Eva,27,52666,IT,1
David,43,78660,Marketing,8
Henry,31,43561,Finance,1
Henry,25,66854,IT,11
Charlie,43,104505,Marketing,1
Frank,39,92251,HR,2
Eva,47,62662,IT,2
Bob,33,48392,Finance,12
Henry,23,70535,HR,6
Frank,31,118603,HR,7
Bob,25,92256,HR,5
Eva,35,75222,IT,1
Alice,37,117373,Finance,1
John,36,119575,HR,3
Frank,29,103335,Marketing,14
Irene,35,50965,HR,2
Alice,44,64538,HR,5
John,49,110592,IT,12
Charlie,46,48110,IT,10
Grace,29,119309,Finance,6
David,42,67266,Marketing,7
Irene,37,92992,IT,4
Charlie,34,46910,HR,7
Eva,39,40206,Finance,11
Charlie,36,63419,HR,8
Grace,42,90636,HR,11
Eva,45,90015,IT,1
Irene,47,94268,Finance,6
Grace,46,58141,Marketing,8
Bob,49,111910,Marketing,5
David,49,96044,IT,4
Irene,49,107214,IT,2
Bob,34,73827,Finance,6
John,30,95820,Marketing,6
Irene,36,102623,Marketing,11
John,34,115450,Marketing,1
Eva,22,62299,HR,9
Bob,46,83585,Marketing,12
David,28,104044,HR,11
Grace,30,82557,Finance,6
Henry,45,89080,HR,13
